Fecha,Anio,Mes,Linea,Afluencia
09/08/2006,2006,8,Linea 1,264689
11/08/2006,2006,8,Linea 1,277679
18/08/2006,2006,8,Linea 1,282322
20/08/2006,2006,8,Linea 1,79651
25/08/2006,2006,8,Linea 1,265267
26/08/2006,2006,8,Linea 1,138074
27/08/2006,2006,8,Linea 1,71246
31/08/2006,2006,8,Linea 1,277404
01/09/2006,2006,9,Linea 1,269721
02/09/2006,2006,9,Linea 1,144573
08/09/2006,2006,9,Linea 1,286125
09/09/2006,2006,9,Linea 1,157009
13/09/2006,2006,9,Linea 1,278952
17/09/2006,2006,9,Linea 1,77128
18/09/2006,2006,9,Linea 1,256076
21/09/2006,2006,9,Linea 1,247408
22/09/2006,2006,9,Linea 1,259357
26/09/2006,2006,9,Linea 1,250183
27/09/2006,2006,9,Linea 1,248292
02/10/2006,2006,10,Linea 1,246758
05/10/2006,2006,10,Linea 1,245142
06/10/2006,2006,10,Linea 1,252635
10/10/2006,2006,10,Linea 1,240058
18/10/2006,2006,10,Linea 1,251187
21/10/2006,2006,10,Linea 1,135240
22/10/2006,2006,10,Linea 1,73921
24/10/2006,2006,10,Linea 1,236994
27/10/2006,2006,10,Linea 1,251986
29/10/2006,2006,10,Linea 1,79090
01/11/2006,2006,11,Linea 1,229723
05/11/2006,2006,11,Linea 1,72151
10/11/2006,2006,11,Linea 1,252729
12/11/2006,2006,11,Linea 1,75961
23/11/2006,2006,11,Linea 1,236820
24/11/2006,2006,11,Linea 1,243421
28/11/2006,2006,11,Linea 1,235265
08/12/2006,2006,12,Linea 1,252692
11/12/2006,2006,12,Linea 1,239049
14/12/2006,2006,12,Linea 1,251342
27/12/2006,2006,12,Linea 1,169201
30/12/2006,2006,12,Linea 1,107308
03/01/2007,2007,1,Linea 1,206975
04/01/2007,2007,1,Linea 1,216225
05/01/2007,2007,1,Linea 1,224038
08/01/2007,2007,1,Linea 1,234698
10/01/2007,2007,1,Linea 1,246874
15/01/2007,2007,1,Linea 1,246119
17/01/2007,2007,1,Linea 1,247303
20/01/2007,2007,1,Linea 1,139234
24/01/2007,2007,1,Linea 1,255495
30/01/2007,2007,1,Linea 1,262977
02/02/2007,2007,2,Linea 1,265587
04/02/2007,2007,2,Linea 1,87830
05/02/2007,2007,2,Linea 1,80982
13/02/2007,2007,2,Linea 1,266157
16/02/2007,2007,2,Linea 1,268593
19/02/2007,2007,2,Linea 1,250387
22/02/2007,2007,2,Linea 1,260908
23/02/2007,2007,2,Linea 1,267746
24/02/2007,2007,2,Linea 1,150908
26/02/2007,2007,2,Linea 1,243841
05/03/2007,2007,3,Linea 1,251354
06/03/2007,2007,3,Linea 1,258228
08/03/2007,2007,3,Linea 1,257196
09/03/2007,2007,3,Linea 1,267809
12/03/2007,2007,3,Linea 1,251601
14/03/2007,2007,3,Linea 1,269845
15/03/2007,2007,3,Linea 1,265372
17/03/2007,2007,3,Linea 1,147424
20/03/2007,2007,3,Linea 1,258266
22/03/2007,2007,3,Linea 1,256588
24/03/2007,2007,3,Linea 1,153051
25/03/2007,2007,3,Linea 1,81662
27/03/2007,2007,3,Linea 1,229352
28/03/2007,2007,3,Linea 1,265036
29/03/2007,2007,3,Linea 1,256737
01/04/2007,2007,4,Linea 1,69078
05/04/2007,2007,4,Linea 1,85919
06/04/2007,2007,4,Linea 1,64366
09/04/2007,2007,4,Linea 1,241208
14/04/2007,2007,4,Linea 1,134986
20/04/2007,2007,4,Linea 1,261238
28/04/2007,2007,4,Linea 1,152874
01/05/2007,2007,5,Linea 1,120333
02/05/2007,2007,5,Linea 1,236949
03/05/2007,2007,5,Linea 1,287383
05/05/2007,2007,5,Linea 1,145340
08/05/2007,2007,5,Linea 1,272852
17/05/2007,2007,5,Linea 1,278060
21/05/2007,2007,5,Linea 1,261155
23/05/2007,2007,5,Linea 1,265227
24/05/2007,2007,5,Linea 1,276425
28/05/2007,2007,5,Linea 1,260843
29/05/2007,2007,5,Linea 1,272349
31/05/2007,2007,5,Linea 1,280753
04/06/2007,2007,6,Linea 1,270570
05/06/2007,2007,6,Linea 1,276428
07/06/2007,2007,6,Linea 1,284161
11/06/2007,2007,6,Linea 1,264677
12/06/2007,2007,6,Linea 1,276878
18/06/2007,2007,6,Linea 1,256532
19/06/2007,2007,6,Linea 1,272253
28/06/2007,2007,6,Linea 1,268887
29/06/2007,2007,6,Linea 1,288950
05/07/2007,2007,7,Linea 1,282251
08/07/2007,2007,7,Linea 1,73159
09/07/2007,2007,7,Linea 1,257473
10/07/2007,2007,7,Linea 1,264668
12/07/2007,2007,7,Linea 1,273357
15/07/2007,2007,7,Linea 1,84406
16/07/2007,2007,7,Linea 1,244364
17/07/2007,2007,7,Linea 1,250072
20/07/2007,2007,7,Linea 1,252669
21/07/2007,2007,7,Linea 1,141663
23/07/2007,2007,7,Linea 1,201926
24/07/2007,2007,7,Linea 1,252863
31/07/2007,2007,7,Linea 1,261243
02/08/2007,2007,8,Linea 1,262222
03/08/2007,2007,8,Linea 1,270844
08/08/2007,2007,8,Linea 1,262203
10/08/2007,2007,8,Linea 1,265707
11/08/2007,2007,8,Linea 1,159034
15/08/2007,2007,8,Linea 1,265082
17/08/2007,2007,8,Linea 1,266459
18/08/2007,2007,8,Linea 1,135543
19/08/2007,2007,8,Linea 1,72076
24/08/2007,2007,8,Linea 1,281411
26/08/2007,2007,8,Linea 1,60463
27/08/2007,2007,8,Linea 1,256609
29/08/2007,2007,8,Linea 1,273385
02/09/2007,2007,9,Linea 1,70708
03/09/2007,2007,9,Linea 1,267416
09/09/2007,2007,9,Linea 1,73903
12/09/2007,2007,9,Linea 1,268509
13/09/2007,2007,9,Linea 1,264096
14/09/2007,2007,9,Linea 1,269093
21/09/2007,2007,9,Linea 1,276722
24/09/2007,2007,9,Linea 1,258549
26/09/2007,2007,9,Linea 1,265497
29/09/2007,2007,9,Linea 1,152162
02/10/2007,2007,10,Linea 1,268978
04/10/2007,2007,10,Linea 1,265644
09/10/2007,2007,10,Linea 1,272257
11/10/2007,2007,10,Linea 1,266443
13/10/2007,2007,10,Linea 1,159572
18/10/2007,2007,10,Linea 1,276485
19/10/2007,2007,10,Linea 1,272398
20/10/2007,2007,10,Linea 1,159174
21/10/2007,2007,10,Linea 1,76645
23/10/2007,2007,10,Linea 1,251231
25/10/2007,2007,10,Linea 1,263669
03/11/2007,2007,11,Linea 1,113494
04/11/2007,2007,11,Linea 1,71251
