Dia de la semana,Dia,Mes,Anio,Contador Ruta Reforma222,Contador Ruta Revolucion,Contador Ruta Patriotismo
viernes,17,10,2014,2479,,
domingo,26,10,2014,1299,,
lunes,6,10,2014,2155,,
sabado,7,3,2015,1848,,
miercoles,4,3,2015,2991,,
sabado,7,2,2015,1652,,
lunes,2,2,2015,1045,,
martes,27,1,2015,2968,,
sabado,23,5,2015,1506,,
miercoles,9,9,2015,2826,,
jueves,1,10,2015,2576,,
jueves,30,7,2015,2735,,
lunes,17,8,2015,2089,,
lunes,3,8,2015,239,,
sabado,21,11,2015,1468,,
viernes,10,7,2015,5861,,
domingo,28,6,2015,826,,
martes,23,6,2015,2823,,
miercoles,21,10,2015,2987,,
viernes,23,10,2015,2743,,
viernes,30,10,2015,2433,,
miercoles,13,7,2016,263,731,904
sabado,23,7,2016,1345,554,471
miercoles,1,6,2016,2825,,
martes,17,5,2016,2463,,
jueves,26,5,2016,2326,,
miercoles,6,1,2016,2236,,
sabado,23,4,2016,1347,,
sabado,7,5,2016,1459,,
miercoles,16,3,2016,2566,,
jueves,14,4,2016,3128,,
lunes,4,4,2016,2736,,
jueves,11,2,2016,2259,,
lunes,15,2,2016,2439,,
domingo,13,3,2016,133,,
lunes,22,2,2016,2504,,
lunes,8,2,2016,2128,,
lunes,15,8,2016,2712,845,930
lunes,13,2,2017,2993,1119,1171
lunes,20,2,2017,3069,1102,1231
domingo,15,1,2017,1245,567,551
domingo,8,1,2017,928,504,473
miercoles,31,5,2017,2849,106,1139
sabado,22,4,2017,1691,657,653
sabado,20,5,2017,1606,653,649
sabado,6,5,2017,1584,717,735
jueves,25,5,2017,2615,893,1112
jueves,11,5,2017,26,940,124
miercoles,20,12,2017,3022,985,1055
jueves,7,12,2017,3394,1113,1266
lunes,11,12,2017,2885,956,1083
sabado,4,11,2017,4884,,1237
viernes,20,10,2017,,,118
lunes,23,10,2017,,,1161
lunes,20,3,2017,1325,514,570
lunes,13,3,2017,285,981,1157
jueves,13,7,2017,15012,900,1187
miercoles,23,8,2017,,1088,1217
jueves,3,8,2017,,916,948
lunes,24,7,2017,,693,814
domingo,17,9,2017,,506,546
lunes,18,9,2017,,918,1009
martes,5,9,2017,,881,
jueves,7,9,2017,,896,
sabado,23,12,2017,1148,636,568
domingo,24,12,2017,620,366,308
jueves,15,9,2016,2135,835,831
martes,13,9,2016,2709,799,915
sabado,1,10,2016,1588,491,527
viernes,7,10,2016,2627,897,999
martes,4,10,2016,3122,964,1063
domingo,18,12,2016,870,425,452
viernes,4,11,2016,2704,909,1017
viernes,2,12,2016,2592,920,108
martes,30,1,2018,,940,990
lunes,8,1,2018,,1054,1154
domingo,18,2,2018,1372,884,681
martes,27,3,2018,3036,945,1204
lunes,12,3,2018,2726,2759,1153
viernes,6,4,2018,2668,883,102
miercoles,5,12,2018,3803,794,1127
viernes,30,11,2018,3608,866,1087
lunes,12,11,2018,3509,895,1257
domingo,24,11,2013,1126,,
miercoles,13,6,2018,1967,589,674
sabado,23,6,2018,1092,533,589
jueves,21,6,2018,2868,912,1047
jueves,28,6,2018,2702,867,1026
sabado,28,4,2018,1511,558,642
domingo,6,5,2018,1217,457,541
jueves,10,5,2018,2745,851,121
jueves,24,5,2018,3338,1038,1325
lunes,7,5,2018,2885,1,1241
viernes,2,11,2018,13,370,411
martes,6,11,2018,3817,904,1283
jueves,8,11,2018,3954,837,1289
viernes,5,10,2018,3247,973,1272
jueves,11,10,2018,3354,964,1196
martes,18,9,2018,3156,971,1218
sabado,8,9,2018,1744,664,701
viernes,3,8,2018,2786,809,993
martes,31,7,2018,272,911,1173
viernes,17,8,2018,2637,779,
martes,14,8,2018,188,1006,
martes,28,8,2018,2483,861,
miercoles,3,7,2019,3823,698,1224
viernes,19,7,2019,3189,799,988
martes,9,7,2019,3856,1042,1220
domingo,21,7,2019,1798,483,559
viernes,26,7,2019,2451,544,817
viernes,7,6,2019,2858,867,984
jueves,6,6,2019,2742,810,995
viernes,21,6,2019,3823,1077,1202
lunes,18,11,2013,1073,,
martes,3,12,2013,2541,,
domingo,22,12,2013,862,,
jueves,12,12,2013,2069,,
martes,11,2,2014,2309,,
domingo,2,2,2014,1141,,
martes,28,1,2014,2581,,
lunes,20,1,2014,2382,,
viernes,12,9,2014,2063,,
viernes,26,9,2014,2552,,
sabado,20,9,2014,161,,
lunes,15,9,2014,1758,,
miercoles,25,3,2015,2932,,
martes,17,3,2015,273,,
martes,24,3,2015,264,,
lunes,16,3,2015,1305,,
lunes,30,3,2015,2605,,
miercoles,8,10,2014,238,,
martes,18,11,2014,2589,,
jueves,9,10,2014,1849,,
miercoles,30,4,2014,2299,,
miercoles,14,5,2014,2546,,
sabado,10,5,2014,1041,,
martes,30,12,2014,1818,,
viernes,5,12,2014,2493,,
jueves,8,1,2015,2251,,
lunes,19,1,2015,2616,,
jueves,1,1,2015,882,,
miercoles,19,3,2014,2826,,
jueves,27,2,2014,3079,,
domingo,23,3,2014,149,,
lunes,3,3,2014,2536,,
sabado,14,2,2015,1378,,
domingo,1,2,2015,1021,,
viernes,6,2,2015,2729,,
jueves,12,2,2015,2253,,
jueves,26,2,2015,2865,,
martes,22,7,2014,2412,,
martes,8,7,2014,2401,,
lunes,14,7,2014,1983,,
sabado,18,6,2016,132,562,506
martes,12,7,2016,2484,730,758
jueves,7,7,2016,237,705,842
jueves,2,6,2016,2254,,
miercoles,11,5,2016,2023,,
domingo,29,5,2016,1395,,
lunes,30,5,2016,2518,,
miercoles,12,8,2015,2652,,
jueves,17,9,2015,1597,,
viernes,2,10,2015,2616,,
lunes,5,10,2015,2692,,
miercoles,23,12,2015,1983,,
viernes,25,12,2015,650,,
lunes,28,12,2015,1788,,
domingo,3,1,2016,939,,
domingo,15,11,2015,842,,
martes,24,11,2015,2773,,
sabado,5,12,2015,1197,,
jueves,4,2,2016,2694,,
martes,9,2,2016,2179,,
lunes,1,2,2016,1044,,
lunes,18,1,2016,25,,
miercoles,19,8,2015,2627,,
sabado,29,8,2015,1309,,
viernes,31,7,2015,2533,,
viernes,7,8,2015,2561,,
martes,14,7,2015,2823,,
miercoles,17,6,2015,2163,,
martes,16,6,2015,2708,,
martes,9,6,2015,2902,,
lunes,22,6,2015,2384,,
domingo,12,4,2015,1284,,
sabado,9,5,2015,174,,
jueves,4,6,2015,2495,,
lunes,25,5,2015,2023,,
sabado,24,9,2016,1171,569,534
martes,23,8,2016,2404,747,860
martes,16,8,2016,2359,753,819
jueves,2,5,2019,3839,1170,1295
jueves,3,1,2019,2978,655,796
domingo,13,1,2019,1733,601,685
viernes,18,1,2019,3923,554,1303
martes,26,2,2019,4034,1068,1427
viernes,1,3,2019,3885,895,1319
jueves,28,3,2019,4182,1013,1419
miercoles,24,4,2019,4214,1097,1392
jueves,10,11,2016,2245,626,676
jueves,3,11,2016,2514,834,957
miercoles,22,11,2017,3343,1166,1357
sabado,18,11,2017,1704,679,612
viernes,8,12,2017,3186,1067,1155
lunes,30,10,2017,,,1156
miercoles,7,2,2018,3408,12,1342
martes,12,6,2018,2433,886,1062
martes,15,5,2018,3426,1244,141
martes,3,7,2018,2693,826,108
lunes,2,7,2018,2572,846,1001
sabado,14,4,2018,1811,427,694
domingo,9,9,2018,1597,600,735
viernes,24,8,2018,2478,892,
jueves,30,8,2018,2803,805,
domingo,17,12,2017,985,457,425
sabado,3,2,2018,1419,643,584
domingo,28,1,2018,,510,649
viernes,14,12,2018,3518,849,1065
domingo,26,2,2017,1223,587,1004
domingo,30,4,2017,1307,558,837
martes,18,4,2017,2209,787,1007
viernes,5,5,2017,2692,969,1119
lunes,24,4,2017,2871,117,924
lunes,8,5,2017,2637,907,1114
sabado,19,8,2017,,652,512
miercoles,4,10,2017,,,1064
jueves,19,10,2017,,,1161
viernes,25,8,2017,,945,
domingo,18,11,2018,1538,519,587
domingo,2,12,2018,1729,532,619
jueves,6,12,2018,3651,964,1143
miercoles,14,12,2016,2857,974,1125
jueves,24,11,2016,2784,955,1081
jueves,29,12,2016,2124,692,622
